"Fragment","Date.0","Genotype.0","Tank.0","A_Tank.0","Nutrients.0","Disease.0","YII.0","Sample.0","Date.2","Genotype.2","Tank.2","A_Tank.2","Nutrients.2","Disease.2","YII.2","Sample.2","Date.3","Genotype.3","Tank.3","A_Tank.3","Nutrients.3","Disease.3","YII.3","Sample.3","Date.4","Genotype.4","Tank.4","A_Tank.4","Nutrients.4","Disease.4","YII.4","Sample.4","Date.5","Genotype.5","Tank.5","A_Tank.5","Nutrients.5","Disease.5","YII.5","Sample.5","Date.6","Genotype.6","Tank.6","A_Tank.6","Nutrients.6","Disease.6","YII.6","Sample.6","Date.7","Genotype.7","Tank.7","A_Tank.7","Nutrients.7","Disease.7","YII.7","Sample.7","Date.8","Genotype.8","Tank.8","A_Tank.8","Nutrients.8","Disease.8","YII.8","Sample.8","Date.9","Genotype.9","Tank.9","A_Tank.9","Nutrients.9","Disease.9","YII.9","Sample.9","Date.10","Genotype.10","Tank.10","A_Tank.10","Nutrients.10","Disease.10","YII.10","Sample.10","Date.11","Genotype.11","Tank.11","A_Tank.11","Nutrients.11","Disease.11","YII.11","Sample.11","Date.12","Genotype.12","Tank.12","A_Tank.12","Nutrients.12","Disease.12","YII.12","Sample.12","Date.13","Genotype.13","Tank.13","A_Tank.13","Nutrients.13","Disease.13","YII.13","Sample.13"
"A081","2020-08-12","Elkhorn","7","3","NH4","Placebo",0.7,"2020-08-12_A081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A082","2020-08-12","Elkhorn","7","6","Ambient","Pathogen",0.705,"2020-08-12_A082","2020-09-02","Elkhorn","6","6","Ambient","Pathogen",0.646,"2020-09-02_A082","2020-09-11","Elkhorn","6","6","Ambient","Pathogen",0.613,"2020-09-11_A082","2020-09-18","Elkhorn","6","6","Ambient","Pathogen",0.584,"2020-09-18_A082","2020-09-22","Elkhorn","6","6","Ambient","Pathogen",0.584,"2020-09-22_A082","2020-09-25","Elkhorn","6","6","Ambient","Pathogen",0.572,"2020-09-25_A082","2020-10-02","Elkhorn","6","6","Ambient","Pathogen",0.503,"2020-10-02_A082","2020-10-09","Elkhorn","6","6","Ambient","Pathogen",0.557,"2020-10-09_A082","2020-10-15","Elkhorn","2","6","Ambient","Pathogen",0.584,"2020-10-15_A082","2020-10-23","Elkhorn","2","6","Ambient","Pathogen",0.546,"2020-10-23_A082","2020-10-29","Elkhorn","2","6","Ambient","Pathogen",0.534,"2020-10-29_A082","2020-10-30","Elkhorn","2","6","Ambient","Pathogen",0.497,"2020-10-30_A082",NA,NA,NA,NA,NA,NA,NA,NA
"A083","2020-08-12","Elkhorn","7","8","NH4","Placebo",0.697,"2020-08-12_A083","2020-09-02","Elkhorn","2","8","NH4","Placebo",0.596,"2020-09-02_A083","2020-09-11","Elkhorn","2","8","NH4","Placebo",0.621,"2020-09-11_A083","2020-09-18","Elkhorn","8","8","NH4","Placebo",0.569,"2020-09-18_A083","2020-09-22","Elkhorn","8","8","NH4","Placebo",0.555,"2020-09-22_A083","2020-09-25","Elkhorn","8","8","NH4","Placebo",0.563,"2020-09-25_A083","2020-10-02","Elkhorn","8","8","NH4","Placebo",0.564,"2020-10-02_A083","2020-10-09","Elkhorn","8","8","NH4","Placebo",0.557,"2020-10-09_A083","2020-10-15","Elkhorn","8","8","NH4","Placebo",0.557,"2020-10-15_A083","2020-10-23","Elkhorn","8","8","NH4","Placebo",0.56,"2020-10-23_A083",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","8","8","NH4","Placebo",0.567,"2020-10-30_A083","2020-11-06","Elkhorn","6","8","NH4","Placebo",0.513,"2020-11-06_A083"
"A084","2020-08-12","Elkhorn","7","7","NH4","Pathogen",0.697,"2020-08-12_A084","2020-09-02","Elkhorn","1","7","NH4","Pathogen",0.611,"2020-09-02_A084","2020-09-11","Elkhorn","1","7","NH4","Pathogen",0.605,"2020-09-11_A084","2020-09-18","Elkhorn","7","7","NH4","Pathogen",0.587,"2020-09-18_A084","2020-09-22","Elkhorn","7","7","NH4","Pathogen",0.551,"2020-09-22_A084","2020-09-25","Elkhorn","7","7","NH4","Pathogen",0.558,"2020-09-25_A084","2020-10-02","Elkhorn","7","7","NH4","Pathogen",0.497,"2020-10-02_A084","2020-10-09","Elkhorn","7","7","NH4","Pathogen",0.552,"2020-10-09_A084","2020-10-15","Elkhorn","3","7","NH4","Pathogen",0.541,"2020-10-15_A084","2020-10-23","Elkhorn","3","7","NH4","Pathogen",0.571,"2020-10-23_A084",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","3","7","NH4","Pathogen",0.518,"2020-10-30_A084","2020-11-06","Elkhorn","2","7","NH4","Pathogen",0.522,"2020-11-06_A084"
"A086","2020-08-12","Elkhorn","7","5","Ambient","Pathogen",0.668,"2020-08-12_A086","2020-09-02","Elkhorn","5","5","Ambient","Pathogen",0.604,"2020-09-02_A086","2020-09-11","Elkhorn","5","5","Ambient","Pathogen",0.591,"2020-09-11_A086","2020-09-18","Elkhorn","5","5","Ambient","Pathogen",0.585,"2020-09-18_A086","2020-09-22","Elkhorn","5","5","Ambient","Pathogen",0.543,"2020-09-22_A086","2020-09-25","Elkhorn","5","5","Ambient","Pathogen",0.565,"2020-09-25_A086","2020-10-02","Elkhorn","5","5","Ambient","Pathogen",0.565,"2020-10-02_A086","2020-10-09","Elkhorn","5","5","Ambient","Pathogen",0.514,"2020-10-09_A086","2020-10-15","Elkhorn","5","1","Ambient","Placebo",0.512,"2020-10-15_A086","2020-10-23","Elkhorn","5","1","Ambient","Placebo",0.518,"2020-10-23_A086",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","5","1","Ambient","Placebo",0.511,"2020-10-30_A086","2020-11-06","Elkhorn","3","1","Ambient","Placebo",0.496,"2020-11-06_A086"
"A087","2020-08-12","Elkhorn","7","5","Ambient","Pathogen",0.698,"2020-08-12_A087","2020-09-02","Elkhorn","5","5","Ambient","Pathogen",0.628,"2020-09-02_A087","2020-09-11","Elkhorn","5","5","Ambient","Pathogen",0.642,"2020-09-11_A087","2020-09-18","Elkhorn","5","5","Ambient","Pathogen",0.576,"2020-09-18_A087","2020-09-22","Elkhorn","5","5","Ambient","Pathogen",0.572,"2020-09-22_A087","2020-09-25","Elkhorn","5","5","Ambient","Pathogen",0.555,"2020-09-25_A087","2020-10-02","Elkhorn","5","5","Ambient","Pathogen",0.577,"2020-10-02_A087","2020-10-09","Elkhorn","5","5","Ambient","Pathogen",0.564,"2020-10-09_A087","2020-10-15","Elkhorn","1","5","Ambient","Pathogen",0.555,"2020-10-15_A087","2020-10-23","Elkhorn","1","5","Ambient","Pathogen",0.51,"2020-10-23_A087",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","1","5","Ambient","Pathogen",0.543,"2020-10-30_A087","2020-11-06","Elkhorn","1","5","Ambient","Pathogen",0.481,"2020-11-06_A087"
"A088","2020-08-12","Elkhorn","7","1","Ambient","Placebo",0.7,"2020-08-12_A088","2020-09-02","Elkhorn","3","1","Ambient","Placebo",0.632,"2020-09-02_A088","2020-09-11","Elkhorn","7","1","Ambient","Placebo",0.524,"2020-09-11_A088","2020-09-18","Elkhorn","1","1","Ambient","Placebo",0.551,"2020-09-18_A088","2020-09-22","Elkhorn","1","1","Ambient","Placebo",0.587,"2020-09-22_A088","2020-09-25","Elkhorn","1","1","Ambient","Placebo",0.575,"2020-09-25_A088","2020-10-02","Elkhorn","1","1","Ambient","Placebo",0.608,"2020-10-02_A088","2020-10-09","Elkhorn","1","1","Ambient","Placebo",0.586,"2020-10-09_A088","2020-10-15","Elkhorn","1","1","Ambient","Pathogen",0.599,"2020-10-15_A088","2020-10-23","Elkhorn","1","1","Ambient","Pathogen",0.562,"2020-10-23_A088",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","1","1","Ambient","Pathogen",0.538,"2020-10-30_A088","2020-11-06","Elkhorn","1","1","Ambient","Pathogen",0.545,"2020-11-06_A088"
"A089","2020-08-12","Elkhorn","7","4","NH4","Pathogen",0.696,"2020-08-12_A089","2020-09-02","Elkhorn","4","4","NH4","Pathogen",0.603,"2020-09-02_A089","2020-09-11","Elkhorn","4","4","NH4","Pathogen",0.64,"2020-09-11_A089","2020-09-18","Elkhorn","4","4","NH4","Pathogen",0.577,"2020-09-18_A089","2020-09-22","Elkhorn","4","4","NH4","Pathogen",0.603,"2020-09-22_A089","2020-09-25","Elkhorn","4","4","NH4","Pathogen",0.598,"2020-09-25_A089","2020-10-02","Elkhorn","4","4","NH4","Pathogen",0.638,"2020-10-02_A089","2020-10-09","Elkhorn","4","4","NH4","Pathogen",0.547,"2020-10-09_A089","2020-10-15","Elkhorn","4","4","NH4","Pathogen",0.58,"2020-10-15_A089","2020-10-23","Elkhorn","4","4","NH4","Pathogen",0.573,"2020-10-23_A089",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","4","4","NH4","Pathogen",0.568,"2020-10-30_A089","2020-11-06","Elkhorn","3","4","NH4","Pathogen",0.576,"2020-11-06_A089"
"A090","2020-08-12","Elkhorn","7","6","Ambient","Placebo",0.701,"2020-08-12_A090","2020-09-02","Elkhorn","6","6","Ambient","Placebo",0.621,"2020-09-02_A090","2020-09-11","Elkhorn","6","6","Ambient","Placebo",0.554,"2020-09-11_A090","2020-09-18","Elkhorn","6","6","Ambient","Placebo",0.598,"2020-09-18_A090","2020-09-22","Elkhorn","6","6","Ambient","Placebo",0.547,"2020-09-22_A090","2020-09-25","Elkhorn","6","6","Ambient","Placebo",0.557,"2020-09-25_A090","2020-10-02","Elkhorn","6","6","Ambient","Placebo",0.513,"2020-10-02_A090","2020-10-09","Elkhorn","6","6","Ambient","Placebo",0.543,"2020-10-09_A090","2020-10-15","Elkhorn","6","6","Ambient","Placebo",0.541,"2020-10-15_A090","2020-10-23","Elkhorn","6","6","Ambient","Placebo",0.519,"2020-10-23_A090",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","6","6","Ambient","Placebo",0.544,"2020-10-30_A090","2020-11-06","Elkhorn","4","6","Ambient","Pathogen",0.542,"2020-11-06_A090"
"A092","2020-08-12","Elkhorn","7","Holding","Extra","Extra",0.67,"2020-08-12_A092","2020-09-04","Elkhorn","Holding","3","NH4","Pathogen",0.646,"2020-09-04_A092","2020-09-11","Elkhorn","3","3","NH4","Pathogen",0.62,"2020-09-11_A092","2020-09-18","Elkhorn","3","3","NH4","Pathogen",0.596,"2020-09-18_A092","2020-09-22","Elkhorn","3","3","NH4","Pathogen",0.546,"2020-09-22_A092","2020-09-25","Elkhorn","3","3","NH4","Pathogen",0.538,"2020-09-25_A092","2020-10-02","Elkhorn","3","3","NH4","Pathogen",0.529,"2020-10-02_A092","2020-10-09","Elkhorn","3","3","NH4","Pathogen",0.538,"2020-10-09_A092","2020-10-15","Elkhorn","7","3","NH4","Placebo",0.567,"2020-10-15_A092","2020-10-23","Elkhorn","7","3","NH4","Placebo",0.553,"2020-10-23_A092",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Elkhorn","7","3","NH4","Placebo",0.529,"2020-10-30_A092","2020-11-06","Elkhorn","5","3","NH4","Placebo",0.484,"2020-11-06_A092"
"A039","2020-08-12","Acerv2","8","3","NH4","Pathogen",0.633,"2020-08-12_A039","2020-09-04","Acerv2","7","3","NH4","Pathogen",0.605,"2020-09-04_A039","2020-09-11","Acerv2","3","3","NH4","Pathogen",0.462,"2020-09-11_A039","2020-09-18","Acerv2","3","3","NH4","Pathogen",0.519,"2020-09-18_A039","2020-09-22","Acerv2","3","3","NH4","Pathogen",0.497,"2020-09-22_A039","2020-09-25","Acerv2","3","3","NH4","Pathogen",0.508,"2020-09-25_A039","2020-10-02","Acerv2","3","3","NH4","Pathogen",0.458,"2020-10-02_A039","2020-10-09","Acerv2","3","3","NH4","Pathogen",0.479,"2020-10-09_A039","2020-10-15","Acerv2","3","3","NH4","Pathogen",0.534,"2020-10-15_A039","2020-10-23","Acerv2","3","3","NH4","Pathogen",0.556,"2020-10-23_A039",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","3","3","NH4","Pathogen",0.516,"2020-10-30_A039",NA,NA,NA,NA,NA,NA,NA,NA
"A040","2020-08-12","Acerv2","8","4","NH4","Pathogen",0.693,"2020-08-12_A040","2020-09-04","Acerv2","4","4","NH4","Pathogen",0.571,"2020-09-04_A040","2020-09-11","Acerv2","4","4","NH4","Pathogen",0.65,"2020-09-11_A040","2020-09-18","Acerv2","4","4","NH4","Pathogen",0.59,"2020-09-18_A040","2020-09-22","Acerv2","4","4","NH4","Pathogen",0.575,"2020-09-22_A040","2020-09-25","Acerv2","4","4","NH4","Pathogen",0.589,"2020-09-25_A040","2020-10-02","Acerv2","4","4","NH4","Pathogen",0.578,"2020-10-02_A040","2020-10-09","Acerv2","4","4","NH4","Pathogen",0.568,"2020-10-09_A040","2020-10-15","Acerv2","4","4","NH4","Pathogen",0.581,"2020-10-15_A040","2020-10-23","Acerv2","4","4","NH4","Pathogen",0.55,"2020-10-23_A040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A041","2020-08-12","Acerv2","8","8","NH4","Pathogen",0.669,"2020-08-12_A041","2020-09-02","Acerv2","2","8","NH4","Pathogen",0.62,"2020-09-02_A041","2020-09-11","Acerv2","2","8","NH4","Pathogen",0.593,"2020-09-11_A041","2020-09-18","Acerv2","8","8","NH4","Pathogen",0.495,"2020-09-18_A041","2020-09-22","Acerv2","8","8","NH4","Pathogen",0.536,"2020-09-22_A041","2020-09-25","Acerv2","8","8","NH4","Pathogen",0.518,"2020-09-25_A041","2020-10-02","Acerv2","8","8","NH4","Pathogen",0.558,"2020-10-02_A041","2020-10-09","Acerv2","8","8","NH4","Pathogen",0.542,"2020-10-09_A041","2020-10-15","Acerv2","4","8","NH4","Pathogen",0.535,"2020-10-15_A041","2020-10-23","Acerv2","4","8","NH4","Pathogen",0.53,"2020-10-23_A041",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","4","8","NH4","Pathogen",0.561,"2020-10-30_A041",NA,NA,NA,NA,NA,NA,NA,NA
"A042","2020-08-12","Acerv2","8","2","Ambient","Placebo",0.698,"2020-08-12_A042","2020-09-02","Acerv2","8","2","Ambient","Placebo",0.644,"2020-09-02_A042","2020-09-11","Acerv2","8","2","Ambient","Placebo",0.621,"2020-09-11_A042","2020-09-18","Acerv2","2","2","Ambient","Placebo",0.615,"2020-09-18_A042","2020-09-22","Acerv2","2","2","Ambient","Placebo",0.592,"2020-09-22_A042","2020-09-25","Acerv2","2","2","Ambient","Placebo",0.588,"2020-09-25_A042","2020-10-02","Acerv2","2","2","Ambient","Placebo",0.587,"2020-10-02_A042","2020-10-09","Acerv2","2","2","Ambient","Placebo",0.504,"2020-10-09_A042","2020-10-15","Acerv2","6","2","Ambient","Placebo",0.523,"2020-10-15_A042","2020-10-23","Acerv2","6","2","Ambient","Placebo",0.554,"2020-10-23_A042",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","6","2","Ambient","Placebo",0.521,"2020-10-30_A042","2020-11-06","Acerv2","4","2","Ambient","Pathogen",0.516,"2020-11-06_A042"
"A043","2020-08-12","Acerv2","8","2","Ambient","Placebo",0.677,"2020-08-12_A043","2020-09-02","Acerv2","8","2","Ambient","Placebo",0.654,"2020-09-02_A043","2020-09-11","Acerv2","8","2","Ambient","Placebo",0.641,"2020-09-11_A043","2020-09-18","Acerv2","2","2","Ambient","Placebo",0.612,"2020-09-18_A043","2020-09-22","Acerv2","2","2","Ambient","Placebo",0.573,"2020-09-22_A043","2020-09-25","Acerv2","2","2","Ambient","Placebo",0.593,"2020-09-25_A043","2020-10-02","Acerv2","2","2","Ambient","Placebo",0.549,"2020-10-02_A043","2020-10-09","Acerv2","2","2","Ambient","Placebo",0.522,"2020-10-09_A043","2020-10-15","Acerv2","6","2","Ambient","Placebo",0.528,"2020-10-15_A043","2020-10-23","Acerv2","6","2","Ambient","Placebo",0.552,"2020-10-23_A043",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","6","2","Ambient","Placebo",0.524,"2020-10-30_A043","2020-11-06","Acerv2","4","2","Ambient","Pathogen",0.486,"2020-11-06_A043"
"A044","2020-08-12","Acerv2","8","6","Ambient","Pathogen",0.614,"2020-08-12_A044","2020-09-02","Acerv2","6","6","Ambient","Pathogen",0.593,"2020-09-02_A044","2020-09-11","Acerv2","6","6","Ambient","Pathogen",0.535,"2020-09-11_A044","2020-09-18","Acerv2","6","6","Ambient","Pathogen",0.526,"2020-09-18_A044","2020-09-22","Acerv2","6","6","Ambient","Pathogen",0.466,"2020-09-22_A044","2020-09-25","Acerv2","6","6","Ambient","Pathogen",0.46,"2020-09-25_A044","2020-10-02","Acerv2","6","6","Ambient","Pathogen",0.465,"2020-10-02_A044","2020-10-09","Acerv2","6","6","Ambient","Pathogen",0.528,"2020-10-09_A044","2020-10-15","Acerv2","2","6","Ambient","Pathogen",0.532,"2020-10-15_A044","2020-10-23","Acerv2","2","6","Ambient","Pathogen",0.525,"2020-10-23_A044","2020-10-29","Acerv2","2","6","Ambient","Pathogen",0.472,"2020-10-29_A044","2020-10-30","Acerv2","2","6","Ambient","Pathogen",0.484,"2020-10-30_A044",NA,NA,NA,NA,NA,NA,NA,NA
"A045","2020-08-12","Acerv2","8","4","NH4","Placebo",0.648,"2020-08-12_A045","2020-09-02","Acerv2","4","4","NH4","Placebo",0.565,"2020-09-02_A045","2020-09-11","Acerv2","4","4","NH4","Placebo",0.562,"2020-09-11_A045","2020-09-18","Acerv2","4","4","NH4","Placebo",0.492,"2020-09-18_A045","2020-09-22","Acerv2","4","4","NH4","Placebo",0.495,"2020-09-22_A045","2020-09-25","Acerv2","4","4","NH4","Placebo",0.528,"2020-09-25_A045","2020-10-02","Acerv2","4","4","NH4","Placebo",0.515,"2020-10-02_A045","2020-10-09","Acerv2","4","4","NH4","Placebo",0.507,"2020-10-09_A045","2020-10-15","Acerv2","8","4","NH4","Placebo",0.529,"2020-10-15_A045","2020-10-23","Acerv2","8","4","NH4","Placebo",0.546,"2020-10-23_A045",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","8","4","NH4","Placebo",0.502,"2020-10-30_A045",NA,NA,NA,NA,NA,NA,NA,NA
"A046","2020-08-12","Acerv2","8","4","NH4","Pathogen",0.658,"2020-08-12_A046","2020-09-02","Acerv2","4","4","NH4","Pathogen",0.511,"2020-09-02_A046","2020-09-11","Acerv2","4","4","NH4","Pathogen",0.588,"2020-09-11_A046","2020-09-18","Acerv2","4","4","NH4","Pathogen",0.557,"2020-09-18_A046","2020-09-22","Acerv2","4","4","NH4","Pathogen",0.536,"2020-09-22_A046","2020-09-25","Acerv2","4","4","NH4","Pathogen",0.508,"2020-09-25_A046","2020-10-02","Acerv2","4","4","NH4","Pathogen",0.512,"2020-10-02_A046","2020-10-09","Acerv2","4","4","NH4","Pathogen",0.51,"2020-10-09_A046","2020-10-15","Acerv2","4","4","NH4","Pathogen",0.529,"2020-10-15_A046","2020-10-23","Acerv2","4","4","NH4","Pathogen",0.543,"2020-10-23_A046",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","4","4","NH4","Pathogen",0.546,"2020-10-30_A046",NA,NA,NA,NA,NA,NA,NA,NA
"A047","2020-08-12","Acerv2","8","1","Ambient","Placebo",0.696,"2020-08-12_A047","2020-09-02","Acerv2","3","1","Ambient","Placebo",0.587,"2020-09-02_A047","2020-09-11","Acerv2","7","1","Ambient","Placebo",0.614,"2020-09-11_A047","2020-09-18","Acerv2","1","1","Ambient","Placebo",0.578,"2020-09-18_A047","2020-09-22","Acerv2","1","1","Ambient","Placebo",0.585,"2020-09-22_A047","2020-09-25","Acerv2","1","1","Ambient","Placebo",0.585,"2020-09-25_A047","2020-10-02","Acerv2","1","1","Ambient","Placebo",0.569,"2020-10-02_A047","2020-10-09","Acerv2","1","1","Ambient","Placebo",0.534,"2020-10-09_A047","2020-10-15","Acerv2","5","1","Ambient","Placebo",0.584,"2020-10-15_A047","2020-10-23","Acerv2","5","1","Ambient","Placebo",0.508,"2020-10-23_A047",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","5","1","Ambient","Placebo",0.514,"2020-10-30_A047","2020-11-06","Acerv2","3","1","Ambient","Placebo",0.524,"2020-11-06_A047"
"A048","2020-08-12","Acerv2","8","7","NH4","Placebo",0.706,"2020-08-12_A048","2020-09-02","Acerv2","1","7","NH4","Placebo",0.654,"2020-09-02_A048","2020-09-11","Acerv2","1","7","NH4","Placebo",0.619,"2020-09-11_A048","2020-09-18","Acerv2","7","7","NH4","Placebo",0.488,"2020-09-18_A048","2020-09-22","Acerv2","7","7","NH4","Placebo",0.554,"2020-09-22_A048","2020-09-25","Acerv2","7","7","NH4","Placebo",0.517,"2020-09-25_A048","2020-10-02","Acerv2","7","7","NH4","Placebo",0.56,"2020-10-02_A048","2020-10-09","Acerv2","7","7","NH4","Placebo",0.56,"2020-10-09_A048","2020-10-15","Acerv2","7","7","NH4","Placebo",0.564,"2020-10-15_A048","2020-10-23","Acerv2","7","7","NH4","Placebo",0.55,"2020-10-23_A048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A049","2020-08-12","Acerv2","8","5","Ambient","Pathogen",0.67,"2020-08-12_A049","2020-09-02","Acerv2","5","5","Ambient","Pathogen",0.574,"2020-09-02_A049","2020-09-11","Acerv2","5","5","Ambient","Pathogen",0.558,"2020-09-11_A049","2020-09-18","Acerv2","5","5","Ambient","Pathogen",0.565,"2020-09-18_A049","2020-09-22","Acerv2","5","5","Ambient","Pathogen",0.523,"2020-09-22_A049","2020-09-25","Acerv2","5","5","Ambient","Pathogen",0.512,"2020-09-25_A049","2020-10-02","Acerv2","5","5","Ambient","Pathogen",0.497,"2020-10-02_A049","2020-10-09","Acerv2","5","5","Ambient","Pathogen",0.52,"2020-10-09_A049","2020-10-15","Acerv2","1","5","Ambient","Pathogen",0.544,"2020-10-15_A049","2020-10-23","Acerv2","1","5","Ambient","Pathogen",0.517,"2020-10-23_A049",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","1","5","Ambient","Pathogen",0.544,"2020-10-30_A049",NA,NA,NA,NA,NA,NA,NA,NA
"A050","2020-08-12","Acerv2","8","6","Ambient","Placebo",0.684,"2020-08-12_A050","2020-09-02","Acerv2","6","6","Ambient","Placebo",0.525,"2020-09-02_A050","2020-09-11","Acerv2","6","6","Ambient","Placebo",0.628,"2020-09-11_A050","2020-09-18","Acerv2","6","6","Ambient","Placebo",0.568,"2020-09-18_A050","2020-09-22","Acerv2","6","6","Ambient","Placebo",0.532,"2020-09-22_A050","2020-09-25","Acerv2","6","6","Ambient","Placebo",0.557,"2020-09-25_A050","2020-10-02","Acerv2","6","6","Ambient","Placebo",0.562,"2020-10-02_A050","2020-10-09","Acerv2","6","6","Ambient","Placebo",0.546,"2020-10-09_A050","2020-10-15","Acerv2","6","6","Ambient","Placebo",0.532,"2020-10-15_A050","2020-10-23","Acerv2","6","6","Ambient","Placebo",0.517,"2020-10-23_A050",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","6","6","Ambient","Placebo",0.531,"2020-10-30_A050","2020-11-06","Acerv2","4","6","Ambient","Pathogen",0.492,"2020-11-06_A050"
"A051","2020-08-12","Acerv2","8","7","NH4","Placebo",0.668,"2020-08-12_A051","2020-09-02","Acerv2","1","7","NH4","Placebo",0.599,"2020-09-02_A051","2020-09-11","Acerv2","1","7","NH4","Placebo",0.569,"2020-09-11_A051","2020-09-18","Acerv2","7","7","NH4","Placebo",0.541,"2020-09-18_A051","2020-09-22","Acerv2","7","7","NH4","Placebo",0.507,"2020-09-22_A051","2020-09-25","Acerv2","7","7","NH4","Placebo",0.521,"2020-09-25_A051","2020-10-02","Acerv2","7","7","NH4","Placebo",0.526,"2020-10-02_A051","2020-10-09","Acerv2","7","7","NH4","Placebo",0.535,"2020-10-09_A051","2020-10-15","Acerv2","7","7","NH4","Placebo",0.538,"2020-10-15_A051","2020-10-23","Acerv2","7","7","NH4","Placebo",0.515,"2020-10-23_A051",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","7","7","NH4","Placebo",0.532,"2020-10-30_A051","2020-11-06","Acerv2","5","7","NH4","Placebo",0.516,"2020-11-06_A051"
"A052","2020-08-12","Acerv2","8","8","NH4","Placebo",0.677,"2020-08-12_A052","2020-09-02","Acerv2","2","8","NH4","Placebo",0.582,"2020-09-02_A052","2020-09-11","Acerv2","2","8","NH4","Placebo",0.509,"2020-09-11_A052","2020-09-18","Acerv2","8","8","NH4","Placebo",0.532,"2020-09-18_A052","2020-09-22","Acerv2","8","8","NH4","Placebo",0.511,"2020-09-22_A052","2020-09-25","Acerv2","8","8","NH4","Placebo",0.488,"2020-09-25_A052","2020-10-02","Acerv2","8","8","NH4","Placebo",0.501,"2020-10-02_A052","2020-10-09","Acerv2","8","8","NH4","Placebo",0.519,"2020-10-09_A052","2020-10-15","Acerv2","8","8","NH4","Placebo",0.524,"2020-10-15_A052","2020-10-23","Acerv2","8","8","NH4","Placebo",0.499,"2020-10-23_A052",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","8","8","NH4","Placebo",0.513,"2020-10-30_A052","2020-11-06","Acerv2","6","8","NH4","Placebo",0.517,"2020-11-06_A052"
"A053","2020-08-12","Acerv2","8","1","Ambient","Pathogen",0.673,"2020-08-12_A053","2020-09-02","Acerv2","3","1","Ambient","Pathogen",0.566,"2020-09-02_A053","2020-09-11","Acerv2","7","1","Ambient","Pathogen",0.487,"2020-09-11_A053","2020-09-18","Acerv2","1","1","Ambient","Pathogen",0.538,"2020-09-18_A053","2020-09-22","Acerv2","1","1","Ambient","Pathogen",0.536,"2020-09-22_A053","2020-09-25","Acerv2","1","1","Ambient","Pathogen",0.555,"2020-09-25_A053","2020-10-02","Acerv2","1","1","Ambient","Pathogen",0.554,"2020-10-02_A053","2020-10-09","Acerv2","1","1","Ambient","Pathogen",0.528,"2020-10-09_A053","2020-10-15","Acerv2","1","1","Ambient","Pathogen",0.551,"2020-10-15_A053","2020-10-23","Acerv2","1","1","Ambient","Pathogen",0.56,"2020-10-23_A053",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","Acerv2","1","1","Ambient","Pathogen",0.549,"2020-10-30_A053",NA,NA,NA,NA,NA,NA,NA,NA
